Entity,Code,Year,civlib_eiu
Argentina,ARG,2006,8.24
Argentina,ARG,2008,8.24
Argentina,ARG,2010,7.94
Argentina,ARG,2012,7.94
Argentina,ARG,2014,7.94
Argentina,ARG,2016,7.65
Argentina,ARG,2018,8.24
Argentina,ARG,2020,7.94
Argentina,ARG,2022,7.94
Australia,AUS,2006,10.0
Australia,AUS,2008,10.0
Australia,AUS,2010,10.0
Australia,AUS,2012,10.0
Australia,AUS,2014,10.0
Australia,AUS,2016,10.0
Australia,AUS,2018,10.0
Australia,AUS,2020,9.71
Australia,AUS,2022,9.71
Botswana,BWA,2006,9.12
Botswana,BWA,2008,9.41
Botswana,BWA,2010,9.41
Botswana,BWA,2012,9.41
Botswana,BWA,2014,9.41
Botswana,BWA,2016,9.41
Botswana,BWA,2018,9.12
Botswana,BWA,2020,8.53
Botswana,BWA,2022,8.53
China,CHN,2006,1.18
China,CHN,2008,1.18
China,CHN,2010,1.18
China,CHN,2012,1.47
China,CHN,2014,1.47
China,CHN,2016,1.47
China,CHN,2018,1.47
China,CHN,2020,1.18
China,CHN,2022,0.59
