Entity,Code,Year,"Inbound mobility rate, both sexes (%)"
Australia,AUS,2015,15.46862
Australia,AUS,2018,26.50268
Austria,AUT,2010,17.80005
Austria,AUT,2015,15.89104
Austria,AUT,2018,17.49413
Canada,CAN,1998,2.3576
Canada,CAN,2000,3.00703
Canada,CAN,2010,7.43157
Canada,CAN,2015,10.97118
Canada,CAN,2018,13.838
United Kingdom,GBR,1998,10.81054
United Kingdom,GBR,2000,11.01387
United Kingdom,GBR,2005,13.91883
United Kingdom,GBR,2010,15.72921
United Kingdom,GBR,2015,18.48803
United Kingdom,GBR,2018,18.32441
United States,USA,1998,3.24289
United States,USA,2000,3.59898
United States,USA,2005,3.4949
United States,USA,2010,3.35234
United States,USA,2015,4.64501
United States,USA,2018,5.21231
