Entity,Code,Year,Annual CO₂ emissions growth (%)
Estonia,EST,1831,20.000004
Estonia,EST,1850,520.5405
Estonia,EST,1900,13.280737
Estonia,EST,1950,11.492062
Estonia,EST,2000,-2.8627396
Estonia,EST,2022,-1.0371745
Finland,FIN,1900,-18.407959
Finland,FIN,1950,32.675446
Finland,FIN,2000,-3.1529248
Finland,FIN,2022,-4.7012925
Uzbekistan,UZB,1831,20.168066
Uzbekistan,UZB,1850,520.3782
Uzbekistan,UZB,1900,13.280737
Uzbekistan,UZB,1950,11.041176
Uzbekistan,UZB,2000,-0.08839965
Uzbekistan,UZB,2022,3.6277413
Vietnam,VNM,1900,-29.999996
Vietnam,VNM,1950,37.43925
Vietnam,VNM,2000,11.096454
Vietnam,VNM,2022,-2.5376022
