Entity,Code,Year,Vaccine safety (strongly agree)
Denmark,DNK,2015,38.36
Denmark,DNK,2016,46.26
Denmark,DNK,2018,61.43
Denmark,DNK,2019,50.87
Germany,DEU,2015,42.8
Germany,DEU,2016,57.16
Germany,DEU,2018,46.49
Germany,DEU,2019,52.49
Greece,GRC,2015,26.04
Greece,GRC,2016,35.33
Greece,GRC,2018,51.51
Greece,GRC,2019,65.41
Mauritius,MUS,2015,43.42
Mauritius,MUS,2016,45.35
Mauritius,MUS,2018,55.71
Mauritius,MUS,2019,43.62
Mongolia,MNG,2015,8.05
Mongolia,MNG,2016,16.15
Mongolia,MNG,2018,46.34
Mongolia,MNG,2019,26.72
Uruguay,URY,2015,65.78
Uruguay,URY,2016,61.58
Uruguay,URY,2018,55.12
Uruguay,URY,2019,62.84
Uzbekistan,UZB,2015,73.14
Uzbekistan,UZB,2016,78.83
Uzbekistan,UZB,2018,84.31
Uzbekistan,UZB,2019,82.58
