Entity,Code,Year,Taxes including social contributions (as a share of GDP),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,22.648588,5908.57,34503776.0,
Argentina,ARG,2021,29.081787,21527.195,45276788.0,
Aruba,ABW,2021,16.797712,38866.332,106543.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2021,7.642659,5911.013,169356240.0,
Belarus,BLR,2021,,19751.203,9578172.0,
Brazil,BRA,2021,32.62684,14592.353,214326224.0,
Brunei,BRN,2021,9.292317,60127.023,445382.0,
Burkina Faso,BFA,2021,15.906391,2179.789,22100690.0,
Burundi,BDI,2021,17.724735,705.0304,12551215.0,
Chile,CHL,2021,20.76686,25449.13,19493184.0,
China,CHN,2021,22.32925,17602.695,1425893504.0,
Colombia,COL,2021,21.3,14648.592,51516560.0,
Congo,COG,2021,8.314249,3234.393,5835814.0,
Democratic Republic of Congo,COD,2021,8.08,1073.6433,95894120.0,
Denmark,DNK,2021,47.97084,57962.652,5854246.0,
El Salvador,SLV,2021,19.899433,9086.047,6314165.0,
Equatorial Guinea,GNQ,2021,5.1736135,14637.008,1634473.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,47.268734,44993.125,64531448.0,
Germany,DEU,2021,40.899426,53179.656,83408560.0,
Guatemala,GTM,2021,12.2306185,8926.7,17608484.0,
Haiti,HTI,2021,5.686473,2870.145,11447575.0,
Iceland,ISL,2021,35.125137,53586.156,370338.0,
India,IND,2021,17.6451,6592.042,1407563904.0,
Indonesia,IDN,2021,9.116608,11858.146,273753184.0,
Iran,IRN,2021,,15004.6875,87923432.0,
Ireland,IRL,2021,21.85093,102496.22,4986525.0,
Italy,ITA,2021,43.28435,41929.43,59240336.0,
Jamaica,JAM,2021,26.026863,9596.564,2827701.0,
Japan,JPN,2021,,40784.383,124612528.0,
Jordan,JOR,2021,17.325575,9223.147,11148288.0,
Kazakhstan,KAZ,2021,15.8770075,26110.53,19196468.0,
Kenya,KEN,2021,14.631927,4743.4863,53005616.0,
Kiribati,KIR,2021,27.375566,1937.0894,128883.0,
Kuwait,KWT,2021,,,4250111.0,
Kyrgyzstan,KGZ,2021,24.86838,4814.9565,6527742.0,
Laos,LAO,2021,10.251106,7846.975,7425055.0,
Latvia,LVA,2021,30.924234,32081.455,1873926.0,
Lesotho,LSO,2021,30.00272,2295.2322,2281464.0,
Liberia,LBR,2021,13.7646055,1423.2296,5193422.0,
Luxembourg,LUX,2021,39.89044,115683.49,639330.0,
Macao,MAC,2021,19.417904,64796.996,686616.0,
Madagascar,MDG,2021,10.673631,1463.6288,28915652.0,
Malaysia,MYS,2021,11.240012,26333.156,33573872.0,
Mexico,MEX,2021,13.872029,19086.105,126705136.0,
Montenegro,MNE,2021,36.77094,20602.5,627856.0,
Mozambique,MOZ,2021,23.403265,1226.767,32077074.0,
Namibia,NAM,2021,28.168303,9137.797,2530150.0,
Nauru,NRU,2021,44.307693,11947.395,12533.0,
Nepal,NPL,2021,23.005156,3831.9485,30034988.0,
Nicaragua,NIC,2021,27.118277,5638.748,6850546.0,
Niger,NER,2021,10.047441,1186.5768,25252722.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,3.7923915,34294.766,4520474.0,
Pakistan,PAK,2021,11.314495,5232.1426,231402112.0,
Peru,PER,2021,15.680838,12514.651,33715464.0,
Philippines,PHL,2021,14.130039,8094.693,113880336.0,
Romania,ROU,2021,27.10772,30776.93,19328558.0,
San Marino,SMR,2021,17.969498,,33772.0,
Saudi Arabia,SAU,2021,,44339.312,35950396.0,
Senegal,SEN,2021,16.926693,3495.4036,16876726.0,
Serbia,SRB,2021,39.339687,19831.297,7296771.0,
Singapore,SGP,2021,13.124746,106032.23,5941063.0,
Slovakia,SVK,2021,35.647713,31866.025,5447621.0,
Somalia,SOM,2021,2.1342423,1136.736,17065588.0,
South Africa,ZAF,2021,27.848778,13311.926,59392256.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,29.87857,44232.207,51830136.0,
Spain,ESP,2021,38.94876,37913.074,47486932.0,
Sudan,SDN,2021,,3701.069,45657204.0,
Suriname,SUR,2021,18.859165,14766.748,612989.0,
Sweden,SWE,2021,42.976173,53613.42,10467095.0,
Tajikistan,TJK,2021,19.456646,3903.32,9750078.0,
Tanzania,TZA,2021,10.712074,2581.6997,63588332.0,
Thailand,THA,2021,16.232868,17077.043,71601104.0,
Togo,TGO,2021,,2124.8042,8644829.0,
Tunisia,TUN,2021,,10397.944,12262949.0,
Turkey,TUR,2021,24.954504,31466.56,84775408.0,
United Arab Emirates,ARE,2021,13.915798,69733.8,9365149.0,
United States,USA,2021,26.82138,63669.71,336997632.0,
Uruguay,URY,2021,26.51111,22800.69,3426265.0,
Uzbekistan,UZB,2021,22.309181,7734.8325,34081452.0,
