Entity,Code,Year,poor_share_in_world_pop_5_per_day
China,CHN,1820,32.3885087885639
China,CHN,1850,31.1326793432034
China,CHN,1950,20.750628184756
China,CHN,2000,7.12767493568703
China,CHN,2017,1.52141826486636
E. Asia and Pacific excl. China,,1820,6.96052295294176
E. Asia and Pacific excl. China,,1850,6.84014654200276
E. Asia and Pacific excl. China,,1950,8.16293986299928
E. Asia and Pacific excl. China,,2000,3.15929174677457
E. Asia and Pacific excl. China,,2017,1.17643095870531
Eastern Europe and Central Asia,,1820,8.86364464240841
Eastern Europe and Central Asia,,1850,9.58384870421405
Eastern Europe and Central Asia,,1950,3.60706306433302
Eastern Europe and Central Asia,,2000,0.527559382267986
Eastern Europe and Central Asia,,2017,0.131808486380689
India,IND,1820,18.1824560712543
India,IND,1850,17.0248917040234
India,IND,1950,12.8153176674018
India,IND,2000,7.81571009847044
India,IND,2017,2.4186712029025
Latin America and the Caribbean,,1820,1.76995281127887
Latin America and the Caribbean,,1850,2.18727320019643
Latin America and the Caribbean,,1950,2.74737487173535
Latin America and the Caribbean,,2000,1.41949253148495
Latin America and the Caribbean,,2017,0.436846012544753
Middle East and North Africa,,1820,2.52330326496595
Middle East and North Africa,,1850,2.49399724030499
Middle East and North Africa,,1950,2.16723864375281
Middle East and North Africa,,2000,1.56082631561639
Middle East and North Africa,,2017,1.03926462048135
South Asia excl. India,,1820,3.15862384298066
South Asia excl. India,,1850,3.51697216907024
South Asia excl. India,,1950,3.56096137561817
South Asia excl. India,,2000,2.97342858158756
South Asia excl. India,,2017,1.34595693173687
Sub-Saharan Africa,,1820,3.99664763831497
Sub-Saharan Africa,,1850,4.48019656205723
Sub-Saharan Africa,,1950,5.75908047122749
Sub-Saharan Africa,,2000,7.99584614762366
Sub-Saharan Africa,,2017,7.77611770729523
Western Europe,,1820,8.83480602503537
Western Europe,,1850,7.2484406741328
Western Europe,,1950,1.4841784736203
Western Europe,,2000,0.0001994353884299
Western Europe,,2017,9.60472208439e-05
Western Offshoots,,1820,0.647104892858194
Western Offshoots,,1850,0.749508174804854
Western Offshoots,,1950,0.0408508009569742
Western Offshoots,,2000,0.0003184432146896
Western Offshoots,,2017,0.0005448637044037
