Entity,Code,Year,Deaths - Stroke - Sex: Both - Age: All Ages (Rate)
Guatemala,GTM,1990,24.97
Guatemala,GTM,1995,27.47
Guatemala,GTM,2000,26.58
Guatemala,GTM,2005,22.54
Guatemala,GTM,2010,24.02
Guatemala,GTM,2015,25.72
Guatemala,GTM,2019,26.71
Mongolia,MNG,1990,83.53
Mongolia,MNG,1995,92.58
Mongolia,MNG,2000,106.88
Mongolia,MNG,2005,124.85
Mongolia,MNG,2010,123.33
Mongolia,MNG,2015,111.71
Mongolia,MNG,2019,123.14
Netherlands,NLD,1990,88.04
Netherlands,NLD,1995,89.45
Netherlands,NLD,2000,89.31
Netherlands,NLD,2005,76.24
Netherlands,NLD,2010,64.37
Netherlands,NLD,2015,67.58
Netherlands,NLD,2019,72.92
San Marino,SMR,1990,75.22
San Marino,SMR,1995,76.4
San Marino,SMR,2000,78.05
San Marino,SMR,2005,85.55
San Marino,SMR,2010,81.51
San Marino,SMR,2015,83.92
San Marino,SMR,2019,87.0
