Entity,Code,Year,Share of the population with access to a handwashing facility with soap and water at home (basic hygiene service) - Residence: Rural,Share of the population with access to a handwashing facility with soap and water at home (basic hygiene service) - Residence: Urban,Population (historical estimates),Continent
Afghanistan,AFG,2022,44.47666,58.520977,,
Armenia,ARM,2022,90.2639,96.80718,,
Bangladesh,BGD,2022,57.689632,67.860374,,
Bhutan,BTN,2022,96.07294,89.50617,,
Chad,TCD,2022,23.702599,34.083164,,
China,CHN,2022,95.3,98.3,,
Colombia,COL,2022,32.945736,78.293526,,
Democratic Republic of Congo,COD,2022,12.333629,27.319307,,
Ethiopia,ETH,2022,4.8251433,20.25519,,
Gambia,GMB,2022,11.934839,13.512698,,
Guyana,GUY,2022,85.41462,78.22773,,
Honduras,HND,2022,84.32535,85.39617,,
India,IND,2022,69.96358,87.5294,,
Kenya,KEN,2022,34.646862,44.82677,,
Kiribati,KIR,2022,51.48181,58.84513,,
Lesotho,LSO,2022,3.5503902,10.301618,,
Liberia,LBR,2022,0.95627,5.637169,,
Mali,MLI,2022,9.120375,27.12441,,
Mauritania,MRT,2022,19.392687,58.673332,,
Nigeria,NGA,2022,22.883482,38.195877,,
Pakistan,PAK,2022,80.20712,92.09175,,
Papua New Guinea,PNG,2022,24.72726,62.48486,,
Samoa,WSM,2022,69.440544,83.76744,,
Somalia,SOM,2022,19.009703,31.87408,,
Suriname,SUR,2022,66.838326,74.79813,,
Syria,SYR,2022,80.59396,87.32684,,
Tunisia,TUN,2022,67.32688,91.45644,,
Uganda,UGA,2022,25.090027,47.316303,,
Vanuatu,VUT,2022,74.59658,79.567085,,
Vietnam,VNM,2022,84.624756,95.16755,,
Zimbabwe,ZWE,2022,36.107243,55.705486,,
