Entity,Code,Year,civ_libs_vdem_owid,GDP per capita,417485-annotations,Population (historical estimates),Continent
Afghanistan,AFG,2018,0.558,1934.555,,36686788.0,
Africa,,2018,0.60891074,,,1295265310.0,
Algeria,DZA,2018,0.579,14228.025,,41927008.0,
Argentina,ARG,2018,0.896,18556.383,,44413592.0,
Asia,,2018,0.5257755,,,4588802751.0,
Bangladesh,BGD,2018,0.428,4099.253,,163683952.0,
Belarus,BLR,2018,0.653,18727.318,,9695573.0,
Bolivia,BOL,2018,0.845,6695.7744,,11606906.0,
Burkina Faso,BFA,2018,0.82,1589.6241,,20392730.0,
Burundi,BDI,2018,0.143,651.3589,,11493476.0,
Cambodia,KHM,2018,0.357,3628.561,,16025242.0,
Central African Republic,CAF,2018,0.513,623.4889,,5094795.0,
Chad,TCD,2018,0.365,2046.3632,,15604213.0,
China,CHN,2018,0.229,13101.706,,1417069440.0,
Cote d'Ivoire,CIV,2018,0.777,3713.6436,,25493990.0,
Cuba,CUB,2018,0.32,8325.631,,11328243.0,
Democratic Republic of Congo,COD,2018,0.417,859.3817,,87087352.0,
Egypt,EGY,2018,0.179,11957.212,,103740768.0,
Equatorial Guinea,GNQ,2018,0.237,28528.953,,1502102.0,
Ethiopia,ETH,2018,0.489,1838.4904,,111129440.0,
Europe,,2018,0.88495123,,,746577709.0,
Ghana,GHA,2018,0.912,4267.067,,30870648.0,
Guatemala,GTM,2018,0.731,7402.1147,,16850176.0,
Guinea-Bissau,GNB,2018,0.726,1501.4136,,1924954.0,
Haiti,HTI,2018,0.683,1729.0432,,11012427.0,
Hong Kong,HKG,2018,0.831,50839.37,,7481563.0,
India,IND,2018,0.628,6806.4985,,1369003264.0,
Indonesia,IDN,2018,0.767,11851.737,,267066848.0,
Iraq,IRQ,2018,0.462,12835.8125,,40590700.0,
Jamaica,JAM,2018,0.9,7272.9805,,2811842.0,
Japan,JPN,2018,0.941,38673.81,,126255872.0,
Jordan,JOR,2018,0.629,11506.338,,10459864.0,
Kuwait,KWT,2018,0.56,65520.74,,4317190.0,
Laos,LAO,2018,0.137,6450.9067,,7105008.0,
Lesotho,LSO,2018,0.753,2731.466,,2198030.0,
Liberia,LBR,2018,0.853,818.4211,,4889396.0,
Madagascar,MDG,2018,0.768,1427.6003,,26846544.0,
Malaysia,MYS,2018,0.731,24842.355,,32399270.0,
Mauritania,MRT,2018,0.531,3457.515,,4270717.0,
Mexico,MEX,2018,0.734,16494.078,,124013864.0,
Moldova,MDA,2018,0.803,6746.7285,,3141839.0,
Mozambique,MOZ,2018,0.61,1132.7709,,29423882.0,
Nepal,NPL,2018,0.792,2727.4238,,28506718.0,
Nicaragua,NIC,2018,0.268,4952.477,,6572234.0,
Niger,NER,2018,0.786,964.6601,,22577060.0,
North America,,2018,0.7696,,,585864285.0,
North Korea,PRK,2018,0.016,1596.3517,,25638152.0,
Oceania,,2018,0.86366665,,,42540030.0,
Oman,OMN,2018,0.456,36477.637,,4601160.0,
Pakistan,PAK,2018,0.474,5510.3965,,219731488.0,
Peru,PER,2018,0.889,12310.085,,32203946.0,
Philippines,PHL,2018,0.578,8139.1396,,108568832.0,
Poland,POL,2018,0.851,27455.236,,38521464.0,
Portugal,PRT,2018,0.967,27035.6,,10289833.0,
Qatar,QAT,2018,0.453,153764.17,,2766743.0,
Russia,RUS,2018,0.474,24668.908,,145652288.0,
Rwanda,RWA,2018,0.302,1929.2852,,12531810.0,
Saudi Arabia,SAU,2018,0.148,50304.75,,35018132.0,
Senegal,SEN,2018,0.864,2617.1245,,15574910.0,
Singapore,SGP,2018,0.727,68402.34,,5814543.0,
Slovakia,SVK,2018,0.9,27075.535,,5446746.0,
South Africa,ZAF,2018,0.845,12165.795,,57339632.0,
South America,,2018,0.82666665,,,424740741.0,
Syria,SYR,2018,0.068,3349.4597,,19333464.0,
Tajikistan,TJK,2018,0.202,4440.382,,9128131.0,
Tanzania,TZA,2018,0.689,2874.963,,58090444.0,
Thailand,THA,2018,0.361,16648.623,,71127808.0,
Turkey,TUR,2018,0.319,19270.22,,82809304.0,
Turkmenistan,TKM,2018,0.122,26318.365,,6065072.0,
Ukraine,UKR,2018,0.669,9813.363,,44446952.0,
United Arab Emirates,ARE,2018,0.411,76397.82,,9140172.0,
United States,USA,2018,0.927,55334.74,,332140032.0,
Uzbekistan,UZB,2018,0.32,11220.37,,32449578.0,
Venezuela,VEN,2018,0.362,10709.95,,29825652.0,
Vietnam,VNM,2018,0.441,6814.142,,94914328.0,
Yemen,YEM,2018,0.121,2284.89,,30790514.0,
