Entity,Code,Year,Coal electricity per capita - kWh
China,CHN,1985,245.83627
China,CHN,1990,382.4646
China,CHN,1995,609.02954
China,CHN,2000,838.74756
China,CHN,2005,1517.487
China,CHN,2010,2398.4727
China,CHN,2015,2903.1536
China,CHN,2020,3454.1772
China,CHN,2022,3785.5723
India,IND,1985,148.72179
India,IND,1990,220.1534
India,IND,1995,307.26788
India,IND,2000,368.2688
India,IND,2005,414.39804
India,IND,2010,518.2677
India,IND,2015,760.8855
India,IND,2020,819.09955
India,IND,2022,973.84
Japan,JPN,1985,820.1365
Japan,JPN,1990,964.41095
Japan,JPN,1995,1344.1399
Japan,JPN,2000,1878.8071
Japan,JPN,2005,2497.6843
Japan,JPN,2010,2473.3535
Japan,JPN,2015,2747.6418
Japan,JPN,2020,2641.0684
Japan,JPN,2022,2811.418
United Kingdom,GBR,1985,3127.71
United Kingdom,GBR,1990,3577.3188
United Kingdom,GBR,1995,2655.602
United Kingdom,GBR,2000,2038.2313
United Kingdom,GBR,2005,2229.7393
United Kingdom,GBR,2010,1714.307
United Kingdom,GBR,2015,1163.3689
United Kingdom,GBR,2020,81.86763
United Kingdom,GBR,2022,82.5076
United States,USA,1985,6411.6064
United States,USA,1990,6953.923
United States,USA,1995,6975.0923
United States,USA,2000,6962.748
United States,USA,2005,6780.932
United States,USA,2010,5936.349
United States,USA,2015,4166.259
United States,USA,2020,2302.1533
United States,USA,2022,2457.981
