Entity,Code,Year,"Coffee, green | 00000656 || Production | 005510 || tonnes"
Brazil,BRA,1961,2228704.0
Brazil,BRA,1970,754800.0
Brazil,BRA,1980,1061195.0
Brazil,BRA,1990,1464856.0
Brazil,BRA,2000,1903562.0
Brazil,BRA,2010,2907265.0
Brazil,BRA,2021,2993780.0
Burundi,BDI,1961,14000.0
Burundi,BDI,1970,22084.0
Burundi,BDI,1980,18894.0
Burundi,BDI,1990,32694.0
Burundi,BDI,2000,67439.0
Burundi,BDI,2010,89960.0
Burundi,BDI,2021,17100.0
Nicaragua,NIC,1961,23200.0
Nicaragua,NIC,1970,39418.0
Nicaragua,NIC,1980,59107.0
Nicaragua,NIC,1990,27996.0
Nicaragua,NIC,2000,82206.0
Nicaragua,NIC,2010,78712.27
Nicaragua,NIC,2021,167831.0
Sao Tome and Principe,STP,1961,258.0
Sao Tome and Principe,STP,1970,125.0
Sao Tome and Principe,STP,1980,60.0
Sao Tome and Principe,STP,1990,37.0
Sao Tome and Principe,STP,2000,18.0
Sao Tome and Principe,STP,2010,15.17
Sao Tome and Principe,STP,2021,7.59
Thailand,THA,1961,60.0
Thailand,THA,1970,600.0
Thailand,THA,1980,9120.0
Thailand,THA,1990,71483.0
Thailand,THA,2000,81057.0
Thailand,THA,2010,48955.0
Thailand,THA,2021,30000.0
