Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,75.85,11627.28,42705372.0,
Argentina,ARG,2019,158.02,22071.748,44745516.0,
Asia,,2019,,,4627738749.0,
Benin,BEN,2019,105.96,3156.439,12290443.0,
Bolivia,BOL,2019,167.12,8528.749,11777318.0,
Botswana,BWA,2019,157.95,15117.995,2499705.0,
Brunei,BRN,2019,201.71,61424.363,438058.0,
Burundi,BDI,2019,108.44,729.65845,11874838.0,
Democratic Republic of Congo,COD,2019,103.1,1059.8921,89906896.0,
Dominica,DMA,2019,202.52,12395.421,71446.0,
Egypt,EGY,2019,90.68,11180.697,105618672.0,
Ethiopia,ETH,2019,87.81,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,140.53,45922.793,64399760.0,
Greece,GRC,2019,143.32,29721.586,10574026.0,
Haiti,HTI,2019,151.68,3101.5942,11160441.0,
Honduras,HND,2019,132.04,5613.6606,9958832.0,
India,IND,2019,83.32,6608.624,1383112064.0,
Indonesia,IDN,2019,112.25,11857.789,269582880.0,
Iran,IRN,2019,95.78,14084.354,86564208.0,
Italy,ITA,2019,129.14,42739.05,59727936.0,
Japan,JPN,2019,113.51,41697.41,125791680.0,
Luxembourg,LUX,2019,127.51,114542.5,619981.0,
Malawi,MWI,2019,126.8,1517.7031,18867340.0,
Maldives,MDV,2019,74.45,20574.404,504518.0,
Mexico,MEX,2019,92.74,20064.5,125085312.0,
Micronesia (country),FSM,2019,168.85,3540.7825,111392.0,
Mongolia,MNG,2019,284.33,12458.019,3232435.0,
Montenegro,MNE,2019,170.12,21537.809,630403.0,
Morocco,MAR,2019,90.39,8217.599,36304408.0,
Mozambique,MOZ,2019,114.52,1285.1848,30285602.0,
Myanmar,MMR,2019,117.41,4829.5366,53040212.0,
Nauru,NRU,2019,185.35,12000.611,12156.0,
Nepal,NPL,2019,99.45,3922.0813,28832500.0,
Netherlands,NLD,2019,162.99,56784.04,17363260.0,
Niger,NER,2019,89.2,1217.446,23443400.0,
Nigeria,NGA,2019,98.24,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,89.8,33814.113,4602769.0,
Pakistan,PAK,2019,153.52,5157.5464,223293280.0,
Poland,POL,2019,175.21,33159.75,38493600.0,
Russia,RUS,2019,128.45,27254.574,145742288.0,
San Marino,SMR,2019,174.14,60076.01,34203.0,
Saudi Arabia,SAU,2019,73.41,44954.992,35827364.0,
Serbia,SRB,2019,183.63,18310.08,7401056.0,
Singapore,SGP,2019,93.34,98283.31,5866408.0,
Solomon Islands,SLB,2019,191.04,2616.863,675000.0,
South America,,2019,,,428318218.0,
Sweden,SWE,2019,120.89,52850.57,10267922.0,
Switzerland,CHE,2019,112.71,70857.086,8575593.0,
Tanzania,TZA,2019,121.65,2577.6658,59872584.0,
Thailand,THA,2019,115.72,18003.672,71307768.0,
Uganda,UGA,2019,145.81,2250.015,42949076.0,
Ukraine,UKR,2019,136.96,12804.955,44211100.0,
United Kingdom,GBR,2019,150.91,47362.266,66778660.0,
United States,USA,2019,137.37,62478.254,334319680.0,
Uruguay,URY,2019,183.88,23256.598,3428412.0,
Uzbekistan,UZB,2019,108.54,7348.147,32976946.0,
World,OWID_WRL,2019,125.41,16847.46,7764951040.0,
Zambia,ZMB,2019,137.6,3372.359,18380478.0,
Zimbabwe,ZWE,2019,180.93,2203.3967,15354606.0,
