Entity,Code,Year,Oil - % electricity
Brazil,BRA,1985,2.0209196
Brazil,BRA,1990,2.275333
Brazil,BRA,1995,2.750886
Brazil,BRA,2000,4.296807
Brazil,BRA,2005,2.9793794
Brazil,BRA,2010,3.011081
Brazil,BRA,2015,4.7885647
Brazil,BRA,2020,2.16811
Brazil,BRA,2022,1.499508
China,CHN,1985,13.8023815
China,CHN,1990,8.107856
China,CHN,1995,5.4709396
China,CHN,2000,3.487017
China,CHN,2005,2.02019
China,CHN,2010,0.8250221
China,CHN,2015,0.62704444
China,CHN,2020,0.68735725
China,CHN,2022,0.8178575
India,IND,1985,6.367437
India,IND,1990,4.6260324
India,IND,1995,3.9391427
India,IND,2000,5.1033444
India,IND,2005,3.6010332
India,IND,2010,1.1499035
India,IND,2015,0.7004009
India,IND,2020,0.19532979
India,IND,2022,0.20344676
Sweden,SWE,1990,1.2672969
Sweden,SWE,1995,3.1561909
Sweden,SWE,2000,1.8246919
Sweden,SWE,2005,2.2164688
Sweden,SWE,2010,3.0986865
Sweden,SWE,2015,1.425926
Sweden,SWE,2020,1.4287457
Sweden,SWE,2022,1.6026943
United Kingdom,GBR,1985,16.205563
United Kingdom,GBR,1990,11.496098
United Kingdom,GBR,1995,5.735683
United Kingdom,GBR,2000,3.7288496
United Kingdom,GBR,2005,3.1429646
United Kingdom,GBR,2010,2.7482595
United Kingdom,GBR,2015,2.7768762
United Kingdom,GBR,2020,3.3106854
United Kingdom,GBR,2022,3.848631
United States,USA,1985,4.054885
United States,USA,1990,4.206248
United States,USA,1995,2.2472167
United States,USA,2000,3.0514715
United States,USA,2005,3.1259062
United States,USA,2010,1.1546109
United States,USA,2015,1.0881516
United States,USA,2020,0.8493315
United States,USA,2022,0.9013485
World,OWID_WRL,1985,11.235866
World,OWID_WRL,1990,11.40949
World,OWID_WRL,1995,9.415305
World,OWID_WRL,2000,8.392966
World,OWID_WRL,2005,7.0174513
World,OWID_WRL,2010,5.0985475
World,OWID_WRL,2015,4.7156415
World,OWID_WRL,2020,3.0040512
World,OWID_WRL,2022,3.1546373
