Entity,Code,Year,Annual CO₂ emissions (per capita),Per capita consumption-based CO₂ emissions
Antigua and Barbuda,ATG,1990,3.8175101,
Antigua and Barbuda,ATG,1995,3.9629917,
Antigua and Barbuda,ATG,2000,4.7343545,
Antigua and Barbuda,ATG,2005,6.0088882,
Antigua and Barbuda,ATG,2010,6.4123206,
Antigua and Barbuda,ATG,2015,6.476089,
Antigua and Barbuda,ATG,2022,6.4218745,
Austria,AUT,1990,8.096019,11.643089
Austria,AUT,1995,8.0586,11.703307
Austria,AUT,2000,8.260701,11.494238
Austria,AUT,2005,9.614327,12.978225
Austria,AUT,2010,8.611599,12.102273
Austria,AUT,2015,7.6790557,10.308359
Austria,AUT,2022,6.8781943,
Barbados,BRB,1990,4.9262605,
Barbados,BRB,1995,4.8910065,
Barbados,BRB,2000,6.607739,
Barbados,BRB,2005,6.5401406,
Barbados,BRB,2010,6.716235,
Barbados,BRB,2015,6.064086,
Barbados,BRB,2022,4.3772573,
Burundi,BDI,1990,0.03808454,
Burundi,BDI,1995,0.04014301,
Burundi,BDI,2000,0.04298516,
Burundi,BDI,2005,0.020827003,
Burundi,BDI,2010,0.03251853,
Burundi,BDI,2015,0.033131626,
Burundi,BDI,2022,0.06194545,
Ecuador,ECU,1990,1.5749345,1.5492446
Ecuador,ECU,1995,2.0324407,1.9361391
Ecuador,ECU,2000,1.6574092,1.5699425
Ecuador,ECU,2005,2.221465,2.394668
Ecuador,ECU,2010,2.4201083,2.67413
Ecuador,ECU,2015,2.5485296,2.9127872
Ecuador,ECU,2022,2.3117273,
Uganda,UGA,1990,0.043263253,0.08718002
Uganda,UGA,1995,0.044750854,0.09501402
Uganda,UGA,2000,0.05665403,0.118428476
Uganda,UGA,2005,0.07220706,0.12715335
Uganda,UGA,2010,0.11037195,0.18415919
Uganda,UGA,2015,0.120754786,0.18009633
Uganda,UGA,2022,0.12744623,
