Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized"
Malaysia,MYS,1990,9.433572
Malaysia,MYS,1995,5.7100563
Malaysia,MYS,2000,2.4970355
Malaysia,MYS,2005,1.452759
Malaysia,MYS,2010,1.002339
Malaysia,MYS,2015,0.64846265
Malaysia,MYS,2019,0.46246266
North Macedonia,MKD,1990,64.99424
North Macedonia,MKD,1995,62.179165
North Macedonia,MKD,2000,51.588223
North Macedonia,MKD,2005,40.763775
North Macedonia,MKD,2010,31.239822
North Macedonia,MKD,2015,23.637482
North Macedonia,MKD,2019,19.354702
United States Virgin Islands,VIR,1990,3.5984318
United States Virgin Islands,VIR,1995,2.1997135
United States Virgin Islands,VIR,2000,1.5381329
United States Virgin Islands,VIR,2005,0.9721934
United States Virgin Islands,VIR,2010,0.73420125
United States Virgin Islands,VIR,2015,0.5507581
United States Virgin Islands,VIR,2019,0.47062388
