Entity,Code,Year,Coefficient of Variation (CV) of caloric intake
Australia,AUS,2000,0.2
Australia,AUS,2005,0.2
Australia,AUS,2010,0.2
Australia,AUS,2015,0.2
Australia,AUS,2020,0.21
Central African Republic,CAF,2000,0.28
Central African Republic,CAF,2005,0.29
Central African Republic,CAF,2010,0.29
Central African Republic,CAF,2015,0.29
Central African Republic,CAF,2020,0.29
Iran,IRN,2000,0.27
Iran,IRN,2005,0.27
Iran,IRN,2010,0.27
Iran,IRN,2015,0.27
Iran,IRN,2020,0.27
Mongolia,MNG,2000,0.26
Mongolia,MNG,2005,0.26
Mongolia,MNG,2010,0.25
Mongolia,MNG,2015,0.25
Mongolia,MNG,2020,0.24
Peru,PER,2000,0.27
Peru,PER,2005,0.26
Peru,PER,2010,0.24
Peru,PER,2015,0.24
Peru,PER,2020,0.29
Uruguay,URY,2000,0.21
Uruguay,URY,2005,0.21
Uruguay,URY,2010,0.21
Uruguay,URY,2015,0.21
Uruguay,URY,2020,0.22
