Entity,Code,Year,Wheat | 00000015 || Production | 005510 || tonnes
Australia,AUS,1961,6727192.0
Australia,AUS,1970,7889918.0
Australia,AUS,1980,10856000.0
Australia,AUS,1990,15066100.0
Australia,AUS,2000,24757000.0
Australia,AUS,2010,21834010.0
Australia,AUS,2021,31922554.0
United Kingdom,GBR,1961,2614000.0
United Kingdom,GBR,1970,4237460.0
United Kingdom,GBR,1980,8470000.0
United Kingdom,GBR,1990,14033000.0
United Kingdom,GBR,2000,16703526.0
United Kingdom,GBR,2010,14877835.0
United Kingdom,GBR,2021,13988000.0
United States,USA,1961,33539008.0
United States,USA,1970,36784000.0
United States,USA,1980,64799504.0
United States,USA,1990,74294000.0
United States,USA,2000,60639376.0
United States,USA,2010,60062410.0
United States,USA,2021,44790360.0
