Entity,Code,Year,"Electricity production from renewable sources, excluding hydroelectric (% of total)",Electricity production from nuclear sources (% of total),Electricity production from hydroelectric sources (% of total),"Electricity production from oil, gas and coal sources (% of total)"
France,FRA,1960,0.0,0.19451365,54.47315,45.33234
France,FRA,1970,0.492433,3.889744,38.600483,57.01734
France,FRA,1980,0.27904302,23.804546,27.01665,48.89976
France,FRA,1990,0.45853418,75.28326,12.911345,11.293891
France,FRA,2000,0.56784207,77.57369,12.400034,9.256443
France,FRA,2010,2.743649,75.94053,11.11371,9.8524685
France,FRA,2015,6.1965165,77.6278,9.66115,6.0557876
Germany,DEU,1960,0.0,0.0,10.192346,89.807655
Germany,DEU,1970,0.82391155,2.1031768,5.676375,91.39654
Germany,DEU,1980,0.61157095,11.920273,4.0890765,82.82476
Germany,DEU,1990,0.3043915,27.840408,3.1819594,68.01753
Germany,DEU,2000,2.4013083,29.635181,3.7972229,63.154602
Germany,DEU,2010,13.383063,22.432144,3.3440104,59.457245
Germany,DEU,2015,26.271088,14.319926,2.9606829,55.063053
Sweden,SWE,1960,0.0,0.0,88.81956,11.180445
Sweden,SWE,1970,0.21453561,0.09241534,68.468216,31.224833
Sweden,SWE,1980,0.7485776,27.501143,61.119648,10.570414
Sweden,SWE,1990,1.3350778,46.707172,49.66503,2.2118862
Sweden,SWE,2000,3.1370714,39.465405,54.10966,3.0716584
Sweden,SWE,2010,10.57726,38.95191,44.724506,4.4308233
Sweden,SWE,2015,16.75405,34.7364,46.508698,1.0850301
United Kingdom,GBR,1960,0.0,1.602906,2.273186,96.12391
United Kingdom,GBR,1970,0.0,10.488117,1.809172,87.70271
United Kingdom,GBR,1980,0.0,13.03301,1.369728,85.59726
United Kingdom,GBR,1990,0.19008355,20.691729,1.6386839,77.453384
United Kingdom,GBR,2000,1.3045743,22.721336,1.3585309,74.47693
United Kingdom,GBR,2010,5.870883,16.418392,0.9419306,76.37855
United Kingdom,GBR,2015,22.970304,20.913853,1.8697451,53.180855
