Entity,Code,Year,Share of global cumulative CO₂ emissions from land-use change
Barbados,BRB,1850,0.002281643
Barbados,BRB,1860,0.0018320788
Barbados,BRB,1880,0.0016916431
Barbados,BRB,1900,0.0014073217
Barbados,BRB,1920,0.0011010247
Barbados,BRB,1940,0.0009437619
Barbados,BRB,1960,0.0009888526
Barbados,BRB,1980,0.0009003222
Barbados,BRB,2000,0.0007579045
Barbados,BRB,2022,0.00039898755
Brunei,BRN,1850,0.0019517335
Brunei,BRN,1860,0.0018731232
Brunei,BRN,1880,0.00266332
Brunei,BRN,1900,0.0033739135
Brunei,BRN,1920,0.0053146817
Brunei,BRN,1940,0.0068628937
Brunei,BRN,1960,0.008036226
Brunei,BRN,1980,0.009075834
Brunei,BRN,2000,0.011452468
Brunei,BRN,2022,0.013681126
Burundi,BDI,1850,0.06369333
Burundi,BDI,1860,0.05675107
Burundi,BDI,1880,0.056375243
Burundi,BDI,1900,0.052203365
Burundi,BDI,1920,0.050678577
Burundi,BDI,1940,0.057471015
Burundi,BDI,1960,0.07797259
Burundi,BDI,1980,0.08160099
Burundi,BDI,2000,0.0762497
Burundi,BDI,2022,0.07539332
Kiribati,KIR,1850,0.0
Kiribati,KIR,1860,0.0
Kiribati,KIR,1880,0.0
Kiribati,KIR,1900,0.0
Kiribati,KIR,1920,0.0
Kiribati,KIR,1940,0.0
Kiribati,KIR,1960,0.0
Kiribati,KIR,1980,0.0
Kiribati,KIR,2000,0.0
Kiribati,KIR,2022,0.0
Mauritius,MUS,1850,0.0023953093
Mauritius,MUS,1860,0.0014005281
Mauritius,MUS,1880,0.0006567546
Mauritius,MUS,1900,0.0002996373
Mauritius,MUS,1920,7.4160664e-05
Mauritius,MUS,1940,-0.00036675716
Mauritius,MUS,1960,-0.00062366703
Mauritius,MUS,1980,-0.0005739419
Mauritius,MUS,2000,-0.0004336659
Mauritius,MUS,2022,0.00010613262
Namibia,NAM,1850,0.023872696
Namibia,NAM,1860,0.021240197
Namibia,NAM,1880,0.020565938
Namibia,NAM,1900,0.018453376
Namibia,NAM,1920,0.017021917
Namibia,NAM,1940,0.017541563
Namibia,NAM,1960,0.023860611
Namibia,NAM,1980,0.02694721
Namibia,NAM,2000,0.031039104
Namibia,NAM,2022,0.0354469
Panama,PAN,1850,0.13749187
Panama,PAN,1860,0.115799114
Panama,PAN,1880,0.10359239
Panama,PAN,1900,0.11442914
Panama,PAN,1920,0.14819916
Panama,PAN,1940,0.20795476
Panama,PAN,1960,0.2951763
Panama,PAN,1980,0.30085158
Panama,PAN,2000,0.31052572
Panama,PAN,2022,0.29414266
