Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged age-standardized"
Spain,ESP,1990,0.03638077
Spain,ESP,1995,0.030091278
Spain,ESP,2000,0.03460072
Spain,ESP,2005,0.04127773
Spain,ESP,2010,0.04428199
Spain,ESP,2015,0.04728454
Spain,ESP,2019,0.040784433
Togo,TGO,1990,160.7103
Togo,TGO,1995,143.94289
Togo,TGO,2000,133.47557
Togo,TGO,2005,120.82604
Togo,TGO,2010,109.39503
Togo,TGO,2015,89.41635
Togo,TGO,2019,73.35241
Uzbekistan,UZB,1990,7.9154577
Uzbekistan,UZB,1995,6.093573
Uzbekistan,UZB,2000,1.9742705
Uzbekistan,UZB,2005,0.722587
Uzbekistan,UZB,2010,0.4966779
Uzbekistan,UZB,2015,0.3638275
Uzbekistan,UZB,2019,0.30062735
