Entity,Code,Year,Annual CO₂ emissions from land-use change
Europe (excl. EU-27),,1850,729451500.0
Europe (excl. EU-27),,1860,760473860.0
Europe (excl. EU-27),,1880,1028826900.0
Europe (excl. EU-27),,1900,1460269800.0
Europe (excl. EU-27),,1920,900316300.0
Europe (excl. EU-27),,1940,1313821000.0
Europe (excl. EU-27),,1960,1073356500.0
Europe (excl. EU-27),,1980,557413400.0
Europe (excl. EU-27),,2000,-16069350.0
Europe (excl. EU-27),,2022,325118880.0
Luxembourg,LUX,1850,482072.47
Luxembourg,LUX,1860,427332.34
Luxembourg,LUX,1880,221268.95
Luxembourg,LUX,1900,160116.8
Luxembourg,LUX,1920,-45543.52
Luxembourg,LUX,1940,-127910.24
Luxembourg,LUX,1960,-388493.94
Luxembourg,LUX,1980,-441841.75
Luxembourg,LUX,2000,176348.31
Luxembourg,LUX,2022,104643.836
Malawi,MWI,1850,1312078.4
Malawi,MWI,1860,1118912.2
Malawi,MWI,1880,1309183.9
Malawi,MWI,1900,1872084.2
Malawi,MWI,1920,3692909.0
Malawi,MWI,1940,16383137.0
Malawi,MWI,1960,23392808.0
Malawi,MWI,1980,9834615.0
Malawi,MWI,2000,19404654.0
Malawi,MWI,2022,3575954.0
Micronesia (country),FSM,1850,0.0
Micronesia (country),FSM,1860,0.0
Micronesia (country),FSM,1880,0.0
Micronesia (country),FSM,1900,0.0
Micronesia (country),FSM,1920,0.0
Micronesia (country),FSM,1940,0.0
Micronesia (country),FSM,1960,0.0
Micronesia (country),FSM,1980,0.0
Micronesia (country),FSM,2000,0.0
Micronesia (country),FSM,2022,0.0
Monaco,MCO,1850,366.4
Monaco,MCO,1860,146.56
Monaco,MCO,1880,36.64
Monaco,MCO,1900,-109.92
Monaco,MCO,1920,-183.2
Monaco,MCO,1940,-36.64
Monaco,MCO,1960,183.2
Monaco,MCO,1980,0.0
Monaco,MCO,2000,36.64
Monaco,MCO,2022,109.92
Uruguay,URY,1850,889436.0
Uruguay,URY,1860,2849346.2
Uruguay,URY,1880,3497874.2
Uruguay,URY,1900,7466682.0
Uruguay,URY,1920,6151306.5
Uruguay,URY,1940,5934690.5
Uruguay,URY,1960,5193427.0
Uruguay,URY,1980,-6234516.0
Uruguay,URY,2000,-581696.6
Uruguay,URY,2022,3056655.5
