Entity,Code,Year,Rapeseed | 00000270 || Production | 005510 || tonnes
Brazil,BRA,1980,3000.0
Brazil,BRA,1990,10000.0
Brazil,BRA,2000,41000.0
Brazil,BRA,2010,70000.0
Brazil,BRA,2021,56000.0
China,CHN,1961,380000.0
China,CHN,1970,965000.0
China,CHN,1980,2384000.0
China,CHN,1990,6958141.0
China,CHN,2000,11380579.0
China,CHN,2010,13082000.0
China,CHN,2021,14713500.0
India,IND,1961,1347000.0
India,IND,1970,1563600.0
India,IND,1980,1428000.0
India,IND,1990,4125300.0
India,IND,2000,5788400.0
India,IND,2010,6608100.0
India,IND,2021,10210000.0
Russia,RUS,2000,148746.0
Russia,RUS,2010,670082.0
Russia,RUS,2021,2793784.2
United States,USA,1990,54000.0
United States,USA,2000,909026.0
United States,USA,2010,1112120.0
United States,USA,2021,1244280.0
