Entity,Code,Year,Equivalent stratospheric chorine (ESC) (1960 = 0)
Antarctic,,1960,0.0
Antarctic,,1980,1.82
Antarctic,,2000,5.19
Antarctic,,2020,4.29
Antarctic,,2040,3.07
Antarctic,,2060,1.81
Antarctic,,2080,1.04
Antarctic,,2100,0.53
Arctic,,1960,0.0
Arctic,,1980,2.09
Arctic,,2000,5.02
Arctic,,2020,4.19
Arctic,,2040,3.11
Arctic,,2060,2.06
Arctic,,2080,1.45
Arctic,,2100,1.05
Global,,1960,0.0
Global,,1980,1.1
Global,,2000,2.95
Global,,2020,2.32
Global,,2040,1.58
Global,,2060,0.9
Global,,2080,0.46
Global,,2100,0.25
