Entity,Code,Year,Fixed broadband subscriptions (per 100 people)
Argentina,ARG,2005,2.3719225
Argentina,ARG,2010,9.801037
Argentina,ARG,2015,15.849057
Argentina,ARG,2021,23.097721
Austria,AUT,1999,0.6369366
Austria,AUT,2005,14.270027
Austria,AUT,2010,24.518019
Austria,AUT,2015,28.412178
Austria,AUT,2021,29.053892
Dominican Republic,DOM,2005,0.6620353
Dominican Republic,DOM,2010,3.9946275
Dominican Republic,DOM,2015,6.5934854
Dominican Republic,DOM,2021,9.758331
Laos,LAO,2005,0.005364798
Laos,LAO,2010,0.09306676
Laos,LAO,2015,0.2143672
Laos,LAO,2021,2.0303545
San Marino,SMR,2005,4.134472
San Marino,SMR,2010,18.957226
San Marino,SMR,2015,34.676796
San Marino,SMR,2021,35.55977
