Entity,Code,Year,17.1.1 - Total government revenue (budgetary central government) as a proportion of GDP (%) - GR_G14_GDP
Anguilla,AIA,2000,20.07
Anguilla,AIA,2005,21.23
Anguilla,AIA,2010,26.25
Anguilla,AIA,2015,21.83
Belarus,BLR,2000,27.7
Belarus,BLR,2005,47.19
Belarus,BLR,2010,41.46
Belarus,BLR,2015,41.89
Cyprus,CYP,2000,32.25
Cyprus,CYP,2005,37.1
Cyprus,CYP,2010,37.11
Cyprus,CYP,2015,39.14
Cyprus,CYP,2021,41.84
Ethiopia,ETH,2005,15.9
Ethiopia,ETH,2010,15.65
Ethiopia,ETH,2015,11.16
Least Developed Countries (LDCs),,2000,19.23
Least Developed Countries (LDCs),,2005,19.44
Least Developed Countries (LDCs),,2010,34.25
Least Developed Countries (LDCs),,2015,27.9
Least Developed Countries (LDCs),,2021,28.7
Mauritius,MUS,2000,19.75
Mauritius,MUS,2005,20.07
Mauritius,MUS,2010,22.19
Mauritius,MUS,2015,11.05
Mauritius,MUS,2021,22.9
Paraguay,PRY,2000,13.75
Paraguay,PRY,2005,15.33
Paraguay,PRY,2010,15.52
Paraguay,PRY,2015,18.36
Paraguay,PRY,2021,18.19
