Entity,Code,Year,Sunflower seed | 00000267 || Yield | 005419 || tonnes per hectare
Asia,,1961,0.9642965
Asia,,1970,0.92456263
Asia,,1980,1.1094373
Asia,,1990,0.9884152
Asia,,2000,1.032576
Asia,,2010,1.2856007
Asia,,2021,2.0246649
Canada,CAN,1961,0.7971
Canada,CAN,1970,0.88
Canada,CAN,1980,1.2185999
Canada,CAN,1990,1.7021999
Canada,CAN,2000,1.734
Canada,CAN,2010,1.3152
Canada,CAN,2021,2.0284998
Eastern Asia (FAO),,1961,1.2449
Eastern Asia (FAO),,1970,0.875
Eastern Asia (FAO),,1980,1.0791
Eastern Asia (FAO),,1990,1.8785
Eastern Asia (FAO),,2000,1.5899
Eastern Asia (FAO),,2010,2.3353999
Eastern Asia (FAO),,2021,3.0319
Iran,IRN,1961,0.9091
Iran,IRN,1970,0.78569996
Iran,IRN,1980,0.64519995
Iran,IRN,1990,0.76309997
Iran,IRN,2000,0.9838
Iran,IRN,2010,1.3245
Iran,IRN,2021,1.0
Namibia,NAM,1990,0.5577
Namibia,NAM,2000,0.3041
Namibia,NAM,2010,1.0368999
Namibia,NAM,2021,1.102
Ukraine,UKR,2000,1.2167
Ukraine,UKR,2010,1.4961
Ukraine,UKR,2021,2.4594
