Entity,Code,Year,"16.b.1 - Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%) - VC_VOV_GDSD - No breakdown by disability - All grounds or no breakdown - All areas - Both sexes"
Canada,CAN,2020,15.65
Central African Republic,CAF,2019,29.4
Chile,CHL,2017,11.2
Cuba,CUB,2019,2.6
Denmark,DNK,2016,22.5
France,FRA,2018,27.0
France,FRA,2019,23.5
Mexico,MEX,2017,20.2
New Zealand,NZL,2016,17.0
New Zealand,NZL,2018,17.4
Norway,NOR,2020,22.0
Norway,NOR,2021,21.9
Peru,PER,2016,18.7
Peru,PER,2017,15.8
Peru,PER,2018,14.8
Peru,PER,2019,12.6
Peru,PER,2020,9.1
Peru,PER,2021,9.9
Sweden,SWE,2016,9.0
Sweden,SWE,2018,10.0
Sweden,SWE,2020,8.0
Sweden,SWE,2021,7.0
Sweden,SWE,2022,7.0
Tonga,TON,2019,21.35
Zimbabwe,ZWE,2019,25.55
