Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: intrastate
Georgia,GEO,1989,0
Georgia,GEO,1995,0
Georgia,GEO,2000,0
Georgia,GEO,2005,0
Georgia,GEO,2010,0
Georgia,GEO,2015,0
Georgia,GEO,2020,0
Georgia,GEO,2022,0
Ghana,GHA,1989,0
Ghana,GHA,1995,0
Ghana,GHA,2000,0
Ghana,GHA,2005,0
Ghana,GHA,2010,0
Ghana,GHA,2015,0
Ghana,GHA,2020,0
Ghana,GHA,2022,0
Iraq,IRQ,1989,51
Iraq,IRQ,1995,699
Iraq,IRQ,2000,53
Iraq,IRQ,2005,2608
Iraq,IRQ,2010,1115
Iraq,IRQ,2015,10137
Iraq,IRQ,2020,844
Iraq,IRQ,2022,808
Nepal,NPL,1989,0
Nepal,NPL,1995,0
Nepal,NPL,2000,268
Nepal,NPL,2005,1104
Nepal,NPL,2010,0
Nepal,NPL,2015,0
Nepal,NPL,2020,0
Nepal,NPL,2022,0
Uganda,UGA,1989,1022
Uganda,UGA,1995,259
Uganda,UGA,2000,364
Uganda,UGA,2005,634
Uganda,UGA,2010,1
Uganda,UGA,2015,0
Uganda,UGA,2020,0
Uganda,UGA,2022,92
Ukraine,UKR,1989,0
Ukraine,UKR,1995,0
Ukraine,UKR,2000,0
Ukraine,UKR,2005,0
Ukraine,UKR,2010,0
Ukraine,UKR,2015,1786
Ukraine,UKR,2020,196
Ukraine,UKR,2022,29
